facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
F3FA,81000002,F3FA-U-HLCR-DH1DRI-Z8100D1,Driver Pedestal Crane - M341 - Diesel En,UM01,MEC,WCOM,U,MECH,SFC,4/24/2012,CLSD PRT  NMAT PRC  SETC
F3FA,81000003,F3FA-C-FGDT-ABH004-99GD0406,Main Gen. 1 Infra Red GD Turb. Air Inl.,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  NMAT PRC  SETC
F3FA,81000012,F3FA-U-HLCR-DH1CST,Pedestal Crane - Electrical Equipment -,UM01,ELE,WCOM,U,ELEC,SFC,4/7/2012,CLSD CNF  PRT  NMAT PRC  SETC
F3FA,81000013,F3FA-U-HLCR-DH1DRI-Z8100D1,Pedestal Crane - Electrical Equipment -,UM01,ELE,WCOM,U,ELEC,SFC,4/7/2012,CLSD CNF  PRT  NMAT PRC  SETC
F3FA,81000017,F3FA-U-HLCR-DH1CST,PEDESTAL CRANE - M336 - Pedestal Crane,UM01,MEC,WCOM,U,CRANE,SFC,3/24/2012,CLSD CNF  PRT  NMAT PRC  SETC
F3FA,81000018,F3FA-P-GCTR-AX1SRV-31BDV0300,BDV To HP Vent Header - O105 - Blowdown,UM01,PDN,WCOM,U,OPS,SFC,3/24/2012,CLSD CNF  PRT  NMAT PRC  SETC
F3FA,81000019,F3FA-H-FFFE-FOAMON-Z5012,FOAM PACKAGE - O119 - Inspection Foam Pa,UM01,PDN,WCOM,U,OPS,SFC,7/28/2012,CLSD NMAT PRC  SETC
F3FA,81000021,F3FA-H-SAEE-BOAMOB,Fast Rescue Craft - M304 - Fast Resque C,UM01,PDN,WCOM,U,MECH,SFC,3/24/2012,CLSD CNF  PRT  NMAT PRC  SETC
F3FA,81000023,F3FA-C-NAAD-FLDBEA,Aeronautical Obstruction Lighting - E103,UM01,ELE,WCOM,U,ELEC,SFC,3/24/2012,CLSD CNF  PRT  NMAT PRC  SETC
F3FA,81000024,F3FA-C-NAAD-FLDANT,Helicopter Warning Light - E103 - Naviga,UM01,ELE,WCOM,U,ELEC,SFC,3/24/2012,CLSD CNF  PRT  NMAT PRC  SETC
F3FA,81000025,F3FA-C-FGDT-ABH003-99GD0301,Diesel Fire Water Pump Room Air Inlet GD,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  PRT  NMAT PRC  SETC
F3FA,81000026,F3FA-C-FGDT-ABH004-99GD0408,Main Gen. 1 Infra Red GD Turb. Air Inl.,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  NMAT PRC  SETC
F3FA,81000027,F3FA-C-FGDT-ABH012-99GD1201,Mezzdeck HVAC GD Ulity Mod.& E/I Room AI,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  NMAT PRC  SETC
F3FA,81000028,F3FA-C-FGDT-ABH004-99GD0407,Main Gen. 1 Infra Red GD Turb. Air Inl.,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  NMAT PRC  SETC
F3FA,81000029,F3FA-C-FGDT-ABH012-99GD1203,Mezzdeck HVAC GD Ulity Mod.& E/I Room AI,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  NMAT PRC  SETC
F3FA,81000030,F3FA-C-FGDT-ABH003-99GD0302,Diesel Fire Water Pump Room Air Inlet GD,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  NMAT PRC  SETC
F3FA,81000031,F3FA-C-FGDT-ABH003-99GD0303,Diesel Fire Water Pump Room Air Inlet GD,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  NMAT PRC  SETC
F3FA,81000032,F3FA-C-FGDT-ABH22A-99GD2204,L.Q.Level 1 HVAC GD Galley Air Inlet - F,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  NMAT PRC  SETC
F3FA,81000033,F3FA-C-FGDT-ABH22A-99GD2205,L.Q.Level 1 HVAC GD Galley Air Inlet - F,UM01,INS,WCOM,U,INST,SFC,4/7/2012,CLSD CNF  NMAT PRC  SETC
