facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
GROV,81000299,GROV-H-SAEE-RAFINF,Liferaft  Q160  S30 Liferaft yearly test,UM01,PDN,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  NMAT PRC  SETC
GROV,81000300,GROV-H-SAEE-RAFINF,Liferaft  Q160  S30 Liferaft yearly test,UM01,PDN,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  NMAT PRC  SETC
GROV,81000305,GROV-H-SAEE-DGEADD,DONUT STATIONS (14x)  Q017  Donuts,UM01,PDN,WCOM,U,CRANE,SFC,4/9/2012,CLSD NMAT PRC  SETC
GROV,81000306,GROV-H-SARE-KIT,AED/Defibrillator/Monitor/Pacemaker  Q10,UM01,PDN,WCOM,U,ELEC,SFC,4/9/2012,CLSD CNF  NMAT PRC  SETC
GROV,81000307,GROV-P-WHXM-W01SSV-13XV101,XV Downhole Safety Valve (SSSV)  101  M8,UM01,MEC,WCOM,U,OPS,SFC,3/26/2012,CLSD CNF  NMAT PRC  SETC
GROV,81000308,GROV-S-MOHD,Grove Helideck  O120  Helideck Emergency,UM01,PDN,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  NMAT PRC  SETC
GROV,81000310,GROV-P-WHXM-W02SSV-13XV201,XV Downhole Safety Valve (SSSV)  201  M8,UM01,MEC,WCOM,U,OPS,SFC,3/26/2012,CLSD CNF  NMAT PRC  SETC
GROV,81000311,GROV-P-WHXM-W03SSV-13XV301,XV Downhole Safety Valve (SSSV)  301  M8,UM01,MEC,WCOM,U,OPS,SFC,3/26/2012,CLSD CNF  NMAT PRC  SETC
GROV,81000313,GROV-P-WHXM-W04SSV-13XV401,XV Downhole Safety Valve (SSSV)  401  M8,UM01,MEC,WCOM,U,OPS,SFC,3/26/2012,CLSD CNF  NMAT PRC  SETC
GROV,81001045,GROV-P-WHSS-WSTREC-18XV510,XV Flowline Subsea  - M410 -,UM01,MEC,WCOM,U,OPS,SFC,4/18/2012,CLSD CNF  NMAT PRC  SETC
GROV,81001046,GROV-P-PGME-EXPSDV-27XV001,XV Exportline to J6a - M410 -,UM01,MEC,WCOM,U,OPS,SFC,4/18/2012,CLSD CNF  NMAT PRC  SETC
GROV,81001047,GROV-U-HLCR,LIFTING EQUIPMENT - Q003 -,UM01,MEC,WCOM,U,OPS,SFC,4/19/2012,TECO CNF  NMAT PRC  SETC
GROV,81001048,GROV-U-HLCR-EL1,Crane Wire Rope 12mm - Q004 -,UM01,MEC,WCOM,U,GENCON,SFC,5/12/2012,CLSD NMAT PRC  SETC
GROV,81001049,GROV-U-HLCR-EL1,Ball Hook 2 Ton - Q003 -,UM01,MEC,WCOM,U,GENCON,SFC,5/13/2012,CLSD CNF  NMAT PRC  SETC
GROV,81001050,GROV-U-HLCR-EL1,Pedestal Crane - V005 -,UM01,MEC,WCOM,U,GENCON,SFC,6/26/2012,CLSD GMPS NMAT PRC  SETC
GROV,81001051,GROV-U-HLCR-EL1,Pedestal Crane - Q021 - TCVT I,UM01,MEC,WCOM,U,GENCON,SFC,4/30/2012,CLSD GMPS NMAT PRC  SETC
GROV,81001052,GROV-S-MOHD,Grove Helideck - Q013 -,UM01,PDN,WCOM,U,GENCON,SFC,5/1/2012,CLSD NMAT PRC  SETC
GROV,81001053,GROV-P-WHSS-WST,Maintenance WHCP 2 panelen,UM01,MEC,WCOM,U,GENCON,SFC,5/1/2012,CLSD CNF  NMAT PRC  SETC
GROV,81001054,GROV-S-MOHD,Grove Helideck - V120 -,UM01,PDN,WCOM,U,GENCON,SFC,5/15/2012,CLSD NMAT PRC  SETC
GROV,81001055,GROV-P-PGME-EXPSDV-27XV001,XV Exportline to J6a - V024 -,UM01,MEC,WCOM,U,GENCON,SFC,5/2/2012,CLSD NMAT PRC  SETC
GROV,81001056,GROV-P-WHSS-WSTREC-18XV510,XV Flowline Subsea  - V024 -,UM01,MEC,WCOM,U,GENCON,SFC,5/2/2012,CLSD NMAT PRC  SETC
GROV,81001231,GROV-U-HLCR-EL1,"Wire Rope Forerunner WLL 5,4 tonne Q003",UM01,PDN,WCOM,U,OPS,SFC,6/12/2012,CLSD CNF  NMAT PRC  SETC
