facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
MJ6A,81000318,MJ6A-H-SARE-FRECAA,BA Bottle 11 - Q001 - Re-Certification,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000319,MJ6A-H-SARE-FRECAA-80FSB0007,BA Bottle 7 - Q001 - Re-Certification,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000320,MJ6A-H-SARE-FRECAA-80FSB0005,BA Bottle 5 - Q001 - Re-Certification,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000321,MJ6A-S-MOHD,* J6A Helicopter Deck - Q153 - Passenger,UM01,MEC,WCOM,U,CRANE,SFC,4/13/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000328,MJ6A-H-SAEE-BOAMOB,FRC Magnum 7.50 x 2.90 x 2.05 - FN007 -,UM01,MEC,WCOM,U,MECH,SFC,4/13/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000329,MJ6A-P-WHXM-W03,PSV Water injection A3 Setting 450 Bar -,UM01,MEC,WCOM,U,OPS,SFC,3/30/2012,CLSD NMAT PRC  SETC
MJ6A,81000331,MJ6A-H-SAEE-BOAFLB,FF Lifeboat - Driver - S002 - Lub Oil Ch,UM01,PDN,WCOM,U,MECH,SFC,4/13/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000332,MJ6A-H-SAEE-BOA,Free Fall Lifeboat - Cradle - S001 - Oil,UM01,PDN,WCOM,U,MECH,SFC,4/13/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000333,MJ6A-H-SAEE-PERJAC,Life Jacket Box 2 East - Q016 - Lifejack,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000345,MJ6A-H-SAEE-BOAFLB,FF Lifeboat - Driver - E302 - Change out,UM01,PDN,WCOM,U,ELEC,SFC,4/13/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000346,MJ6A-H-SAEE-RAFINF,Liferaft North-West - Q016 - Lifejackets,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000349,MJ6A-H-SAEE-RAFINF,Liferaft South-West - Q016 - Lifejackets,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000350,MJ6A-H-SAEE-RAFINF,Liferaft East - Q016 - Lifejackets - Lif,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000351,MJ6A-H-SARE-KITMED,Oxygen Cilinder 2L - Q002 - Internal Ves,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000352,MJ6A-H-SARE-KITMED,Oxygen Cilinder 10L  - Q002 - Internal V,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000353,MJ6A-H-SARE-KITMED,Oxygen Cilinder 2L - Q002 - Internal Ves,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000354,MJ6A-H-SARE-KITMED,Oxygen Cilinder 2L - Q002 - Internal Ves,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000355,MJ6A-H-SARE-KITMED,Oxygen Cilinder 2L - Q002 - Internal Ves,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000356,MJ6A-H-SARE-KITMED,Oxygen Cilinder 10L  - Q002 - Internal V,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000357,MJ6A-H-SARE-KITMED,Oxygen Cilinder 2L - Q002 - Internal Ves,UM01,PDN,WCOM,U,CRANE,SFC,3/30/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000358,MJ6A-H-SAEE-BOA,Free Fall Lifeboat - Cradle - M312 - Lif,UM01,PDN,WCOM,U,MECH,SFC,4/13/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000359,MJ6A-U-EDDC-UPSEME,24V DC Distribution Panel - E910 - Contr,UM01,ELE,WCOM,U,ELEC,SFC,8/3/2012,CLSD CNF  NMAT PRC  SETC
MJ6A,81000360,MJ6A-H-FFFW-FPDLCP,Diesel FW Pump - Local Control Panel - E,UM01,MEC,WCOM MERR,U,ELEC,SFC,3/30/2012,CLSD CNF  GMPS PRC  SETC
