facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
WIND,81000239,WIND-H-SAEE-RAFINF,Liferaft  Q160  S30 Liferaft yearly test,UM01,PDN,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000240,WIND-H-SAEE-RAFINF,Liferaft  Q160  S30 Liferaft yearly test,UM01,PDN,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000241,WIND-H-SAEE-RAFINF,Liferaft  Q016  Lifejackets  Liferafts &,UM01,PDN,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000243,WIND-U-HLCR-DH1,Pedestal Crane  M545  Pedestal Crane,UM01,MEC,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000246,WIND-U-HLCR-DH1,Pedestal Crane  S003  Crane Bearing Grea,UM01,MEC,WCOM,U,CRANE,SFC,4/9/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000247,WIND-P-PGME-SPLVES-V3001,Pig Launcher  O305  Pig launcher / recei,UM01,MEC,WCOM,U,OPS,SFC,3/26/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000248,WIND-U-HLCR-DH1,Crane Driver  S002  Lub Oil Change & Sam,UM01,MEC,WCOM,U,CRANE,SFC,4/9/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000249,WIND-C-CMPA-CEN,PA SYSTEM  E212  PA System,UM01,ELE,WCOM,U,ELEC,SFC,3/26/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000251,WIND-F-HVLQ-VENAHU-Z8801,HVAC Air Handling Unit  O301  HVAC Syste,UM01,MEC,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000253,WIND-H-SAEE-BOAWLB,Lifeboat Air Bottles (2)  Q002  Internal,UM01,PDN,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  PRT  NMAT PRC  SETC
WIND,81000254,WIND-H-SAEE-PERJAC,Life Jackets Box (8x)  Q016  Lifejackets,UM01,PDN,WCOM,U,OPS,SFC,4/9/2012,CLSD CNF  PRT  NMAT PRC  SETC
